driver,opponent,gap,speed_delta,tyre_delta,drs,opponent_weakness,pressure_level,corner_factor,success
LEC,LEC,0.9499316505242931,3.9453521028387217,5,1,0.5367388266472001,0.45691940516573565,0.43816205562173827,0
SAI,LEC,0.865376377799698,11.195436149763209,-2,1,0.8409641615074761,0.637328184798319,0.2607017441121826,0
NOR,LEC,0.42472593456236557,-1.9269830383653108,1,1,0.7970521977974828,0.3671219772212432,0.34456170864839086,0
SAI,LEC,0.6472683942677205,17.216477006634967,1,1,0.7280669257918057,0.30340732879114446,0.5196004593751812,1
SAI,SAI,0.9322668692606422,7.577098769495909,-5,0,0.3189587661426968,0.6048395146161765,0.6214944749180847,0
HAM,SAI,0.795473602402837,6.2337435509910515,8,1,0.8294549029488734,0.11998726582547957,0.7235864135076229,0
NOR,HAM,1.482899728300842,9.64661971133798,17,1,0.1780061539711002,0.6765800896213432,0.7137365747592487,0
NOR,VER,0.2910156535794264,10.619596569735062,-4,1,0.7826633732470303,0.5112186959012078,0.8781509946088684,1
NOR,LEC,1.0732023756666313,-3.2056048443371745,14,0,0.3625280578828862,0.5846029844167475,0.32867315893072757,0
SAI,HAM,0.6660462753460089,12.06543053058506,-8,1,0.1430178493295867,0.6055041273975081,0.15688856657074945,0
LEC,VER,0.6994794608958607,1.0482920078882396,5,0,0.6354855873925986,0.521640125194051,0.37652554843348746,0
NOR,NOR,1.1046368719214468,12.848815812664744,7,1,0.2850239426527644,0.5660270219525888,0.6946355801792614,0
SAI,SAI,1.0694106118541173,15.563369859604919,5,1,0.29485690069170556,0.6470305607118997,0.4504893208266362,1
HAM,VER,1.4877583911830636,15.098962688813007,12,0,0.34483773298301723,0.7024950777437393,0.7542307444715356,0
LEC,NOR,0.2797520052357753,8.812524185197228,-4,1,0.1509478140020134,0.6819619130288964,0.539461092148812,1
HAM,VER,0.24575350913783287,8.004247307768779,-7,0,0.24170171535860324,0.7956931661858094,0.8438333781044025,0
LEC,SAI,1.1140743439802376,-1.428100966514707,16,0,0.10411170206844825,0.25155474653392224,0.8582907535992551,0
SAI,SAI,0.9097416838089727,14.38365376007839,14,1,0.4563276168846295,0.42091837559343803,0.15544360481499897,0
VER,HAM,0.4838249331837282,1.7852345111678591,19,1,0.16740430193437705,0.8582368528115657,0.46513075176993945,0
LEC,LEC,0.21118711658458125,7.417385570448664,-3,1,0.6461220840353592,0.4172724595090638,0.5877512489996545,1
HAM,VER,0.21992154943500275,2.1068523231879177,2,1,0.2884982809533187,0.19989606152473816,0.30469803264977025,0
SAI,VER,1.3518672245297656,-1.6542909250076714,2,0,0.8548593152281417,0.5203561010897436,0.4256614235031842,0
LEC,NOR,0.36861425460624003,10.738942422293414,6,0,0.7970013019189222,0.18759277804356975,0.6421452328941587,1
VER,SAI,0.5527201869617291,-3.6416991294274044,6,1,0.3315527159745666,0.2622825909822922,0.28138738151868914,0
VER,VER,0.4173189631177832,13.716130853155,-6,0,0.7265723637253431,0.8986550052567654,0.581585082379562,0
NOR,SAI,0.5969948281647122,2.9396698815279168,-5,0,0.742595923731845,0.5330901107169056,0.6579582625314448,0
NOR,VER,0.19719337984453073,-4.996632674887867,8,1,0.8892504912915284,0.3272467112323432,0.1723970488766934,0
HAM,HAM,0.8266837072715785,7.778228480930745,2,0,0.578271989476548,0.8958199636591249,0.49802345282196225,0
LEC,LEC,0.19465758902910085,-3.828702286809922,14,0,0.16557258771492978,0.8732471348441146,0.31046402393935263,0
LEC,VER,1.2204991109513061,1.9042389455224868,17,1,0.6174697831411048,0.4525912328674109,0.6795090847984357,0
NOR,SAI,0.42719691467460624,12.674412186392905,15,0,0.5999837987008282,0.3083224870303267,0.2516444068295524,0
LEC,HAM,0.8560166804463147,-3.4327594594533535,3,1,0.6106804619363455,0.770719710473752,0.8137903324304852,0
LEC,VER,1.3321107225860416,15.983462308900059,11,0,0.34571651848336926,0.6724965735774286,0.4447530692146615,0
VER,NOR,1.0112283166660718,-4.904501933535422,-7,1,0.7877436680642664,0.6495531480028083,0.2584024242460428,0
NOR,LEC,0.8461409011718694,1.1705967300475562,17,0,0.8675777463643296,0.8144909930579781,0.4504174370802635,0
SAI,VER,0.5540672543615258,13.522601403801787,-4,0,0.27417001038252126,0.6515337070970597,0.4269950102468223,0
NOR,HAM,0.5662026782814771,2.9067537432326693,-3,1,0.17052172650931557,0.32703835443323936,0.44313516759496824,0
SAI,NOR,1.037281737277466,-2.452690298349662,14,1,0.2556280265347873,0.6550905295005859,0.5684490347979575,0
