Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapStartTime_s
LEC,16,1.0,1.0,197.0,80.0,,270.0,False,MEDIUM,1.0,True,Ferrari,2024-05-26 13:03:11.069,1254,1.0,False,,False,False,3305.68
LEC,16,2.0,2.0,173.0,137.0,2.0,241.0,False,HARD,1.0,True,Ferrari,2024-05-26 13:44:00.122,14,1.0,False,,False,False,5754.733
LEC,16,3.0,2.0,199.0,167.0,250.0,269.0,True,HARD,2.0,True,Ferrari,2024-05-26 13:47:05.529,1,1.0,False,,False,True,5940.14
LEC,16,4.0,2.0,192.0,173.0,252.0,269.0,True,HARD,3.0,True,Ferrari,2024-05-26 13:48:30.153,1,1.0,False,,False,True,6024.764
LEC,16,5.0,2.0,196.0,175.0,253.0,271.0,True,HARD,4.0,True,Ferrari,2024-05-26 13:49:52.778,1,1.0,False,,False,True,6107.389
LEC,16,6.0,2.0,190.0,179.0,252.0,271.0,True,HARD,5.0,True,Ferrari,2024-05-26 13:51:14.573,1,1.0,False,,False,True,6189.184
LEC,16,7.0,2.0,193.0,175.0,253.0,271.0,True,HARD,6.0,True,Ferrari,2024-05-26 13:52:35.718,1,1.0,False,,False,True,6270.329
LEC,16,8.0,2.0,190.0,178.0,252.0,270.0,False,HARD,7.0,True,Ferrari,2024-05-26 13:53:56.698,1,1.0,False,,False,True,6351.309
LEC,16,9.0,2.0,197.0,177.0,252.0,271.0,True,HARD,8.0,True,Ferrari,2024-05-26 13:55:17.728,1,1.0,False,,False,True,6432.339
LEC,16,10.0,2.0,196.0,175.0,252.0,271.0,False,HARD,9.0,True,Ferrari,2024-05-26 13:56:37.842,1,1.0,False,,False,True,6512.453
LEC,16,11.0,2.0,192.0,178.0,253.0,271.0,False,HARD,10.0,True,Ferrari,2024-05-26 13:57:58.617,1,1.0,False,,False,True,6593.228
LEC,16,12.0,2.0,196.0,176.0,252.0,271.0,False,HARD,11.0,True,Ferrari,2024-05-26 13:59:19.663,1,1.0,False,,False,True,6674.274
LEC,16,13.0,2.0,200.0,180.0,253.0,272.0,True,HARD,12.0,True,Ferrari,2024-05-26 14:00:39.915,1,1.0,False,,False,True,6754.526
LEC,16,14.0,2.0,198.0,182.0,253.0,270.0,False,HARD,13.0,True,Ferrari,2024-05-26 14:01:58.932,1,1.0,False,,False,True,6833.543
LEC,16,15.0,2.0,202.0,180.0,252.0,272.0,False,HARD,14.0,True,Ferrari,2024-05-26 14:03:18.845,1,1.0,False,,False,True,6913.456
LEC,16,16.0,2.0,195.0,177.0,253.0,272.0,False,HARD,15.0,True,Ferrari,2024-05-26 14:04:38.683,1,1.0,False,,False,True,6993.294
LEC,16,17.0,2.0,202.0,175.0,253.0,273.0,False,HARD,16.0,True,Ferrari,2024-05-26 14:05:58.839,1,1.0,False,,False,True,7073.45
LEC,16,18.0,2.0,199.0,181.0,254.0,273.0,False,HARD,17.0,True,Ferrari,2024-05-26 14:07:19.118,1,1.0,False,,False,True,7153.729
LEC,16,19.0,2.0,202.0,179.0,253.0,273.0,True,HARD,18.0,True,Ferrari,2024-05-26 14:08:38.698,1,1.0,False,,False,True,7233.309
LEC,16,20.0,2.0,197.0,180.0,254.0,272.0,True,HARD,19.0,True,Ferrari,2024-05-26 14:09:57.540,1,1.0,False,,False,True,7312.151
LEC,16,21.0,2.0,199.0,184.0,254.0,272.0,True,HARD,20.0,True,Ferrari,2024-05-26 14:11:16.264,1,1.0,False,,False,True,7390.875
LEC,16,22.0,2.0,201.0,184.0,255.0,272.0,False,HARD,21.0,True,Ferrari,2024-05-26 14:12:34.736,1,1.0,False,,False,True,7469.347
LEC,16,23.0,2.0,202.0,184.0,254.0,273.0,True,HARD,22.0,True,Ferrari,2024-05-26 14:13:53.356,1,1.0,False,,False,True,7547.967
LEC,16,24.0,2.0,202.0,182.0,254.0,273.0,False,HARD,23.0,True,Ferrari,2024-05-26 14:15:11.814,1,1.0,False,,False,True,7626.425
LEC,16,25.0,2.0,203.0,181.0,254.0,273.0,False,HARD,24.0,True,Ferrari,2024-05-26 14:16:30.539,1,1.0,False,,False,True,7705.15
LEC,16,26.0,2.0,204.0,185.0,254.0,273.0,True,HARD,25.0,True,Ferrari,2024-05-26 14:17:49.512,1,1.0,False,,False,True,7784.123
LEC,16,27.0,2.0,201.0,182.0,255.0,275.0,True,HARD,26.0,True,Ferrari,2024-05-26 14:19:07.957,1,1.0,False,,False,True,7862.568
LEC,16,28.0,2.0,194.0,185.0,255.0,274.0,False,HARD,27.0,True,Ferrari,2024-05-26 14:20:26.308,1,1.0,False,,False,True,7940.919
LEC,16,29.0,2.0,200.0,176.0,255.0,275.0,False,HARD,28.0,True,Ferrari,2024-05-26 14:21:45.018,1,1.0,False,,False,True,8019.629
LEC,16,30.0,2.0,194.0,180.0,255.0,275.0,False,HARD,29.0,True,Ferrari,2024-05-26 14:23:04.071,1,1.0,False,,False,True,8098.682
LEC,16,31.0,2.0,197.0,185.0,256.0,276.0,False,HARD,30.0,True,Ferrari,2024-05-26 14:24:24.006,1,1.0,False,,False,True,8178.617
LEC,16,32.0,2.0,196.0,178.0,255.0,275.0,False,HARD,31.0,True,Ferrari,2024-05-26 14:25:42.399,1,1.0,False,,False,True,8257.01
LEC,16,33.0,2.0,202.0,185.0,256.0,277.0,False,HARD,32.0,True,Ferrari,2024-05-26 14:27:01.524,1,1.0,False,,False,True,8336.135
LEC,16,34.0,2.0,199.0,181.0,255.0,276.0,False,HARD,33.0,True,Ferrari,2024-05-26 14:28:20.018,1,1.0,False,,False,True,8414.629
LEC,16,35.0,2.0,202.0,180.0,256.0,278.0,False,HARD,34.0,True,Ferrari,2024-05-26 14:29:39.337,1,1.0,False,,False,True,8493.948
LEC,16,36.0,2.0,201.0,184.0,257.0,278.0,False,HARD,35.0,True,Ferrari,2024-05-26 14:30:57.867,1,1.0,False,,False,True,8572.478
LEC,16,37.0,2.0,202.0,180.0,257.0,278.0,False,HARD,36.0,True,Ferrari,2024-05-26 14:32:16.556,1,1.0,False,,False,True,8651.167
LEC,16,38.0,2.0,198.0,184.0,257.0,279.0,False,HARD,37.0,True,Ferrari,2024-05-26 14:33:35.481,1,1.0,False,,False,True,8730.092
LEC,16,39.0,2.0,202.0,183.0,259.0,280.0,True,HARD,38.0,True,Ferrari,2024-05-26 14:34:54.009,1,1.0,False,,False,True,8808.62
LEC,16,40.0,2.0,199.0,183.0,258.0,281.0,False,HARD,39.0,True,Ferrari,2024-05-26 14:36:12.190,1,1.0,False,,False,True,8886.801
LEC,16,41.0,2.0,195.0,185.0,265.0,280.0,False,HARD,40.0,True,Ferrari,2024-05-26 14:37:30.923,1,1.0,False,,False,True,8965.534
LEC,16,42.0,2.0,200.0,184.0,254.0,278.0,False,HARD,41.0,True,Ferrari,2024-05-26 14:38:49.617,1,1.0,False,,False,True,9044.228
LEC,16,43.0,2.0,203.0,183.0,255.0,275.0,True,HARD,42.0,True,Ferrari,2024-05-26 14:40:08.894,1,1.0,False,,False,True,9123.505
LEC,16,44.0,2.0,199.0,185.0,255.0,275.0,False,HARD,43.0,True,Ferrari,2024-05-26 14:41:26.759,1,1.0,False,,False,True,9201.37
LEC,16,45.0,2.0,200.0,182.0,255.0,275.0,False,HARD,44.0,True,Ferrari,2024-05-26 14:42:45.035,1,1.0,False,,False,True,9279.646
LEC,16,46.0,2.0,196.0,185.0,256.0,276.0,False,HARD,45.0,True,Ferrari,2024-05-26 14:44:03.576,1,1.0,False,,False,True,9358.187
LEC,16,47.0,2.0,195.0,183.0,256.0,276.0,False,HARD,46.0,True,Ferrari,2024-05-26 14:45:22.143,1,1.0,False,,False,True,9436.754
LEC,16,48.0,2.0,197.0,188.0,256.0,276.0,False,HARD,47.0,True,Ferrari,2024-05-26 14:46:41.328,1,1.0,False,,False,True,9515.939
LEC,16,49.0,2.0,196.0,184.0,256.0,276.0,False,HARD,48.0,True,Ferrari,2024-05-26 14:47:59.269,1,1.0,False,,False,True,9593.88
LEC,16,50.0,2.0,202.0,183.0,257.0,276.0,False,HARD,49.0,True,Ferrari,2024-05-26 14:49:17.775,1,1.0,False,,False,True,9672.386
LEC,16,51.0,2.0,196.0,186.0,265.0,279.0,True,HARD,50.0,True,Ferrari,2024-05-26 14:50:35.960,1,1.0,False,,False,True,9750.571
LEC,16,52.0,2.0,198.0,188.0,256.0,276.0,False,HARD,51.0,True,Ferrari,2024-05-26 14:51:53.750,1,1.0,False,,False,True,9828.361
LEC,16,53.0,2.0,198.0,185.0,258.0,278.0,True,HARD,52.0,True,Ferrari,2024-05-26 14:53:12.061,12,1.0,False,,False,True,9906.672
LEC,16,54.0,2.0,202.0,188.0,258.0,278.0,True,HARD,53.0,True,Ferrari,2024-05-26 14:54:29.809,1,1.0,False,,False,True,9984.42
LEC,16,55.0,2.0,194.0,188.0,256.0,278.0,False,HARD,54.0,True,Ferrari,2024-05-26 14:55:47.166,1,1.0,False,,False,True,10061.777
LEC,16,56.0,2.0,194.0,188.0,256.0,275.0,True,HARD,55.0,True,Ferrari,2024-05-26 14:57:04.610,1,1.0,False,,False,True,10139.221
LEC,16,57.0,2.0,206.0,189.0,256.0,274.0,False,HARD,56.0,True,Ferrari,2024-05-26 14:58:21.876,1,1.0,False,,False,True,10216.487
LEC,16,58.0,2.0,199.0,191.0,256.0,275.0,True,HARD,57.0,True,Ferrari,2024-05-26 14:59:39.516,1,1.0,False,,False,True,10294.127
LEC,16,59.0,2.0,202.0,192.0,257.0,275.0,False,HARD,58.0,True,Ferrari,2024-05-26 15:00:56.544,1,1.0,False,,False,True,10371.155
LEC,16,60.0,2.0,200.0,190.0,258.0,278.0,True,HARD,59.0,True,Ferrari,2024-05-26 15:02:13.578,1,1.0,False,,False,True,10448.189
LEC,16,61.0,2.0,197.0,189.0,258.0,278.0,False,HARD,60.0,True,Ferrari,2024-05-26 15:03:29.992,1,1.0,False,,False,True,10524.603
LEC,16,62.0,2.0,199.0,184.0,258.0,277.0,False,HARD,61.0,True,Ferrari,2024-05-26 15:04:46.855,1,1.0,False,,False,True,10601.466
LEC,16,63.0,2.0,201.0,190.0,257.0,278.0,False,HARD,62.0,True,Ferrari,2024-05-26 15:06:04.309,1,1.0,False,,False,True,10678.92
LEC,16,64.0,2.0,198.0,189.0,257.0,278.0,False,HARD,63.0,True,Ferrari,2024-05-26 15:07:21.280,1,1.0,False,,False,True,10755.891
LEC,16,65.0,2.0,202.0,187.0,258.0,278.0,False,HARD,64.0,True,Ferrari,2024-05-26 15:08:37.840,1,1.0,False,,False,True,10832.451
LEC,16,66.0,2.0,201.0,192.0,259.0,279.0,False,HARD,65.0,True,Ferrari,2024-05-26 15:09:54.447,1,1.0,False,,False,True,10909.058
LEC,16,67.0,2.0,206.0,190.0,259.0,278.0,True,HARD,66.0,True,Ferrari,2024-05-26 15:11:10.936,1,1.0,False,,False,True,10985.547
LEC,16,68.0,2.0,202.0,190.0,259.0,282.0,False,HARD,67.0,True,Ferrari,2024-05-26 15:12:26.877,1,1.0,False,,False,True,11061.488
LEC,16,69.0,2.0,207.0,189.0,258.0,279.0,False,HARD,68.0,True,Ferrari,2024-05-26 15:13:42.959,1,1.0,False,,False,True,11137.57
LEC,16,70.0,2.0,202.0,192.0,259.0,279.0,True,HARD,69.0,True,Ferrari,2024-05-26 15:14:59.332,1,1.0,False,,False,True,11213.943
LEC,16,71.0,2.0,208.0,195.0,259.0,279.0,True,HARD,70.0,True,Ferrari,2024-05-26 15:16:15.099,1,1.0,False,,False,True,11289.71
LEC,16,72.0,2.0,207.0,192.0,259.0,280.0,False,HARD,71.0,True,Ferrari,2024-05-26 15:17:30.261,1,1.0,False,,False,True,11364.872
LEC,16,73.0,2.0,202.0,189.0,261.0,281.0,False,HARD,72.0,True,Ferrari,2024-05-26 15:18:45.808,1,1.0,False,,False,True,11440.419
LEC,16,74.0,2.0,200.0,191.0,262.0,282.0,False,HARD,73.0,True,Ferrari,2024-05-26 15:20:02.027,1,1.0,False,,False,True,11516.638
LEC,16,75.0,2.0,203.0,188.0,262.0,282.0,False,HARD,74.0,True,Ferrari,2024-05-26 15:21:18.132,1,1.0,False,,False,True,11592.743
LEC,16,76.0,2.0,202.0,187.0,259.0,281.0,False,HARD,75.0,True,Ferrari,2024-05-26 15:22:34.519,1,1.0,False,,False,True,11669.13
LEC,16,77.0,2.0,200.0,188.0,259.0,277.0,False,HARD,76.0,True,Ferrari,2024-05-26 15:23:51.327,1,1.0,False,,False,True,11745.938
LEC,16,78.0,2.0,196.0,184.0,209.0,277.0,False,HARD,77.0,True,Ferrari,2024-05-26 15:25:08.260,1,1.0,False,,False,True,11822.871
PIA,81,1.0,1.0,174.0,86.0,,277.0,False,MEDIUM,2.0,False,McLaren,2024-05-26 13:03:11.069,1254,2.0,False,,False,False,3305.68
PIA,81,2.0,2.0,172.0,133.0,2.0,233.0,False,HARD,2.0,False,McLaren,2024-05-26 13:44:00.122,14,2.0,False,,False,False,5754.733
PIA,81,3.0,2.0,179.0,171.0,252.0,271.0,True,HARD,3.0,False,McLaren,2024-05-26 13:47:06.213,1,2.0,False,,False,True,5940.824
PIA,81,4.0,2.0,170.0,171.0,261.0,275.0,True,HARD,4.0,False,McLaren,2024-05-26 13:48:31.166,1,2.0,False,,False,True,6025.777
PIA,81,5.0,2.0,184.0,175.0,260.0,275.0,True,HARD,5.0,False,McLaren,2024-05-26 13:49:53.480,1,2.0,False,,False,True,6108.091
PIA,81,6.0,2.0,181.0,179.0,262.0,275.0,True,HARD,6.0,False,McLaren,2024-05-26 13:51:15.499,1,2.0,False,,False,True,6190.11
PIA,81,7.0,2.0,185.0,176.0,262.0,276.0,True,HARD,7.0,False,McLaren,2024-05-26 13:52:36.853,1,2.0,False,,False,True,6271.464
PIA,81,8.0,2.0,181.0,181.0,262.0,274.0,False,HARD,8.0,False,McLaren,2024-05-26 13:53:57.661,1,2.0,False,,False,True,6352.272
PIA,81,9.0,2.0,189.0,181.0,262.0,273.0,True,HARD,9.0,False,McLaren,2024-05-26 13:55:18.719,1,2.0,False,,False,True,6433.33
PIA,81,10.0,2.0,179.0,176.0,255.0,275.0,False,HARD,10.0,False,McLaren,2024-05-26 13:56:38.625,1,2.0,False,,False,True,6513.236
PIA,81,11.0,2.0,168.0,181.0,261.0,276.0,False,HARD,11.0,False,McLaren,2024-05-26 13:57:59.515,1,2.0,False,,False,True,6594.126
PIA,81,12.0,2.0,188.0,180.0,262.0,277.0,False,HARD,12.0,False,McLaren,2024-05-26 13:59:20.413,1,2.0,False,,False,True,6675.024
PIA,81,13.0,2.0,189.0,182.0,263.0,276.0,True,HARD,13.0,False,McLaren,2024-05-26 14:00:40.548,1,2.0,False,,False,True,6755.159
PIA,81,14.0,2.0,175.0,185.0,264.0,276.0,False,HARD,14.0,False,McLaren,2024-05-26 14:01:59.293,1,2.0,False,,False,True,6833.904
PIA,81,15.0,2.0,186.0,178.0,255.0,274.0,False,HARD,15.0,False,McLaren,2024-05-26 14:03:19.307,1,2.0,False,,False,True,6913.918
PIA,81,16.0,2.0,190.0,184.0,262.0,278.0,False,HARD,16.0,False,McLaren,2024-05-26 14:04:39.571,1,2.0,False,,False,True,6994.182
PIA,81,17.0,2.0,186.0,179.0,263.0,274.0,False,HARD,17.0,False,McLaren,2024-05-26 14:05:59.400,1,2.0,False,,False,True,7074.011
PIA,81,18.0,2.0,189.0,188.0,262.0,277.0,False,HARD,18.0,False,McLaren,2024-05-26 14:07:19.428,1,2.0,False,,False,True,7154.039
PIA,81,19.0,2.0,195.0,188.0,261.0,277.0,False,HARD,19.0,False,McLaren,2024-05-26 14:08:39.260,1,2.0,False,,False,True,7233.871
PIA,81,20.0,2.0,190.0,186.0,256.0,276.0,False,HARD,20.0,False,McLaren,2024-05-26 14:09:58.439,1,2.0,False,,False,True,7313.05
PIA,81,21.0,2.0,195.0,185.0,255.0,276.0,True,HARD,21.0,False,McLaren,2024-05-26 14:11:17.494,1,2.0,False,,False,True,7392.105
PIA,81,22.0,2.0,194.0,186.0,257.0,276.0,True,HARD,22.0,False,McLaren,2024-05-26 14:12:36.095,1,2.0,False,,False,True,7470.706
PIA,81,23.0,2.0,193.0,185.0,256.0,276.0,False,HARD,23.0,False,McLaren,2024-05-26 14:13:54.680,1,2.0,False,,False,True,7549.291
PIA,81,24.0,2.0,192.0,183.0,256.0,276.0,False,HARD,24.0,False,McLaren,2024-05-26 14:15:13.338,1,2.0,False,,False,True,7627.949
PIA,81,25.0,2.0,194.0,182.0,256.0,277.0,False,HARD,25.0,False,McLaren,2024-05-26 14:16:31.974,1,2.0,False,,False,True,7706.585
PIA,81,26.0,2.0,194.0,189.0,258.0,277.0,True,HARD,26.0,False,McLaren,2024-05-26 14:17:50.758,1,2.0,False,,False,True,7785.369
PIA,81,27.0,2.0,194.0,187.0,257.0,277.0,False,HARD,27.0,False,McLaren,2024-05-26 14:19:09.198,1,2.0,False,,False,True,7863.809
